source,line,type,time,context,event
research_log_2026-06-22.md,1,heading,,2026-06-22 研究探索日志,2026-06-22 研究探索日志
research_log_2026-06-22.md,3,heading,,概述,概述
research_log_2026-06-22.md,9,heading,,一、已完成的核心实验,一、已完成的核心实验
research_log_2026-06-22.md,11,heading,,1.1 调仓日优化 (月末 vs 月中),1.1 调仓日优化 (月末 vs 月中)
research_log_2026-06-22.md,12,bullet,,1.1 调仓日优化 (月末 vs 月中),实验: 4 种配置 (月末/月中 × 原因子/增强因子)
research_log_2026-06-22.md,13,bullet,,1.1 调仓日优化 (月末 vs 月中),关键发现: 月中(15日)调仓全面优于月末，CAGR +0.6pp，回撤 -5.8pp
research_log_2026-06-22.md,14,bullet,,1.1 调仓日优化 (月末 vs 月中),最优: 月中15日 + 增强因子 → Sharpe 0.79
research_log_2026-06-22.md,15,bullet,,1.1 调仓日优化 (月末 vs 月中),文件: `mvp_cn/src/compare_rebalance.py`
research_log_2026-06-22.md,18,heading,,1.2 因子增强 (8因子 vs 5因子),1.2 因子增强 (8因子 vs 5因子)
research_log_2026-06-22.md,19,bullet,,1.2 因子增强 (8因子 vs 5因子),新增因子: 成交额动量、量比(20/120)、相对强度
research_log_2026-06-22.md,20,bullet,,1.2 因子增强 (8因子 vs 5因子),效果: Sharpe +0.04，CAGR +1.5pp (在月中调仓下)
research_log_2026-06-22.md,23,heading,,1.3 ETF 颗粒度对比 (6只 vs 16只 vs 22只),1.3 ETF 颗粒度对比 (6只 vs 16只 vs 22只)
research_log_2026-06-22.md,24,bullet,,1.3 ETF 颗粒度对比 (6只 vs 16只 vs 22只),核心发现: ETF 数量与绩效呈单调递减关系
research_log_2026-06-22.md,25,bullet,,1.3 ETF 颗粒度对比 (6只 vs 16只 vs 22只),粗粒度(6只): Sharpe 0.79 → 最优
research_log_2026-06-22.md,26,bullet,,1.3 ETF 颗粒度对比 (6只 vs 16只 vs 22只),中粒度(16只): Sharpe 0.45
research_log_2026-06-22.md,27,bullet,,1.3 ETF 颗粒度对比 (6只 vs 16只 vs 22只),细粒度(22只): Sharpe 0.21
research_log_2026-06-22.md,29,bullet,,1.3 ETF 颗粒度对比 (6只 vs 16只 vs 22只),文件: `mvp_cn/src/granularity_compare.py`
research_log_2026-06-22.md,32,heading,,1.4 科技内部轮动,1.4 科技内部轮动
research_log_2026-06-22.md,33,bullet,,1.4 科技内部轮动,实验: 4/6/9只科技ETF + 等权持有基准
research_log_2026-06-22.md,34,bullet,,1.4 科技内部轮动,关键发现: 全样本等权持有优于主动轮动；冻结期反转 (AI行情)
research_log_2026-06-22.md,35,bullet,,1.4 科技内部轮动,结论: 科技内部轮动不可靠，冻结期超额不可外推
research_log_2026-06-22.md,36,bullet,,1.4 科技内部轮动,文件: `mvp_cn/src/tech_rotation.py`
research_log_2026-06-22.md,39,heading,,1.5 趋势过滤规则优化 (★ 今日最大发现),1.5 趋势过滤规则优化 (★ 今日最大发现)
research_log_2026-06-22.md,41,heading,,1.5.1 崩盘保护过滤器,1.5.1 崩盘保护过滤器
research_log_2026-06-22.md,43,bullet,,1.5.1 崩盘保护过滤器,结果: 崩盘保护(Sharpe 0.48) < 无过滤(0.52) < 200MA(0.79)
research_log_2026-06-22.md,44,bullet,,1.5.1 崩盘保护过滤器,结论: 简单的恐慌空仓不如系统性的趋势跟踪
research_log_2026-06-22.md,46,heading,,1.5.2 多均线对比 (7种策略),1.5.2 多均线对比 (7种策略)
research_log_2026-06-22.md,47,bullet,,1.5.2 多均线对比 (7种策略),200MA(原始): Sharpe 0.79 — 基准
research_log_2026-06-22.md,48,bullet,,1.5.2 多均线对比 (7种策略),金叉死叉: Sharpe 0.60
research_log_2026-06-22.md,49,bullet,,1.5.2 多均线对比 (7种策略),三均线多头: Sharpe 0.24 (过度空仓)
research_log_2026-06-22.md,50,bullet,,1.5.2 多均线对比 (7种策略),结论: 最简单的200MA反而最优
research_log_2026-06-22.md,52,heading,,1.5.3 MA周期优化 (★ 核心突破),1.5.3 MA周期优化 (★ 核心突破)
research_log_2026-06-22.md,54,bullet,,1.5.3 MA周期优化 (★ 核心突破),"峰值: 180MA → Sharpe 0.836, CAGR 16.12%, MaxDD -20.63%"
research_log_2026-06-22.md,55,bullet,,1.5.3 MA周期优化 (★ 核心突破),"200MA(原): Sharpe 0.794, CAGR 15.12%, MaxDD -21.89%"
research_log_2026-06-22.md,56,bullet,,1.5.3 MA周期优化 (★ 核心突破),"提升: Sharpe +0.04, CAGR +1.0pp, MaxDD改善1.3pp"
research_log_2026-06-22.md,58,heading,,1.5.4 180MA 的过拟合检验,1.5.4 180MA 的过拟合检验
research_log_2026-06-22.md,63,bullet,,1.5.4 180MA 的过拟合检验,秩相关: 开发-冻结 Sharpe Spearman = 0.755
research_log_2026-06-22.md,64,bullet,,1.5.4 180MA 的过拟合检验,高原区: 170-210天 Sharpe 均在 0.79-0.84
research_log_2026-06-22.md,66,heading,,1.5.5 时间节点稳健性,1.5.5 时间节点稳健性
research_log_2026-06-22.md,70,bullet,,1.5.5 时间节点稳健性,结论: 170-180天区间在任何时间节点都稳健
research_log_2026-06-22.md,72,heading,,1.5.6 为什么是180天？,1.5.6 为什么是180天？
research_log_2026-06-22.md,73,bullet,,1.5.6 为什么是180天？,A股中期趋势平均持续 7-8 个月 ≈ 170-180 交易日
research_log_2026-06-22.md,78,heading,,1.6 AKShare 因子探索,1.6 AKShare 因子探索
research_log_2026-06-22.md,80,bullet,,1.6 AKShare 因子探索,高价值接口: 中国宏观(226)、利率/债券(48)、行业板块(17)、ETF/基金(123)
research_log_2026-06-22.md,81,bullet,,1.6 AKShare 因子探索,已缓存: 27只行业ETF的双源数据 (Sina + Yahoo)
research_log_2026-06-22.md,82,bullet,,1.6 AKShare 因子探索,网络限制: 当前环境SSL问题导致部分API不可用
research_log_2026-06-22.md,85,heading,,1.7 综合报告生成,1.7 综合报告生成
research_log_2026-06-22.md,88,bullet,,1.7 综合报告生成,图表: 研究路线图、因子IC、API分类、ETF时间线、颗粒度对比、科技轮动、策略热力图、最佳策略深度分析
research_log_2026-06-22.md,92,heading,,二、最终推荐策略参数,二、最终推荐策略参数
research_log_2026-06-22.md,105,heading,,"期望绩效 (180MA, 月中15日, 增强因子)","期望绩效 (180MA, 月中15日, 增强因子)"
research_log_2026-06-22.md,113,heading,,过拟合诊断,过拟合诊断
research_log_2026-06-22.md,124,heading,,三、实验对照表,三、实验对照表
research_log_2026-06-22.md,140,heading,,四、未完成 / 明日可继续,四、未完成 / 明日可继续
research_log_2026-06-22.md,151,heading,,五、文件索引,五、文件索引
research_log_2026-06-22.md,153,heading,,核心结果,核心结果
research_log_2026-06-22.md,160,heading,,策略脚本,策略脚本
research_log_2026-06-22.md,162,bullet,,策略脚本,`mvp_cn/src/compare_rebalance.py` — 调仓日+因子对比
research_log_2026-06-22.md,167,heading,,报告生成,报告生成
research_log_2026-06-22.md,174,heading,,六、关键结论,六、关键结论
research_log_2026-06-22.md,185,heading,,七、完整策略操作逻辑,七、完整策略操作逻辑
research_log_2026-06-22.md,187,heading,,7.1 ETF投资池,7.1 ETF投资池
research_log_2026-06-22.md,198,heading,,7.2 数据获取,7.2 数据获取
research_log_2026-06-22.md,205,heading,,7.3 月度执行流程,7.3 月度执行流程
research_log_2026-06-22.md,223,heading,,7.4 八个增强因子,7.4 八个增强因子
research_log_2026-06-22.md,229,bullet,,7.4 八个增强因子,`trend_quality_126`: 126日对数趋势R²×年化斜率
research_log_2026-06-22.md,237,heading,,7.5 关键参数,7.5 关键参数
research_log_2026-06-22.md,250,heading,,7.6 期望绩效,7.6 期望绩效
research_log_2026-06-22.md,257,heading,,7.7 过拟合诊断,7.7 过拟合诊断
research_log_2026-06-23.md,1,heading,,2026-06-23 研究探索日志,2026-06-23 研究探索日志
research_log_2026-06-23.md,3,heading,,概述,概述
research_log_2026-06-23.md,9,bullet,,概述,趋势过滤: 200MA → 180MA（ma180_final验证更优）
research_log_2026-06-23.md,10,bullet,,概述,新增方法论: POOS墙前/墙后严格分离、多墙稳健性检验、机制拆解（Full/NoTrend/TrendOnly）
research_log_2026-06-23.md,11,bullet,,概述,ETF选择: ad-hoc 6只 → 系统性筛选（226→26→8→6的完整链路）
research_log_2026-06-23.md,15,heading,,一、探索时间线,一、探索时间线
research_log_2026-06-23.md,35,heading,,二、核心实验详情,二、核心实验详情
research_log_2026-06-23.md,37,heading,,2.1 高频自适应轮动,2.1 高频自适应轮动
research_log_2026-06-23.md,64,heading,,2.2 ETF系统性筛选,2.2 ETF系统性筛选
research_log_2026-06-23.md,69,bullet,,2.2 ETF系统性筛选,`ak.fund_etf_spot_em()` + `ak.fund_etf_category_sina()` → 1567只ETF
research_log_2026-06-23.md,70,bullet,,2.2 ETF系统性筛选,关键词筛选(消费/医药/科技/金融/能源/军工等) → 730只行业ETF
research_log_2026-06-23.md,74,bullet,,2.2 ETF系统性筛选,`data/raw/sina/` → 226只已缓存ETF
research_log_2026-06-23.md,99,heading,,2.3 gap_return_20 因子验证,2.3 gap_return_20 因子验证
research_log_2026-06-23.md,104,bullet,,2.3 gap_return_20 因子验证,3训练窗口(滚动5年/8年/扩展) × 2因子集(基准5/基准+gap)
research_log_2026-06-23.md,105,bullet,,2.3 gap_return_20 因子验证,扩展窗口ΔSharpe=+0.13（但扩展窗口用全部历史数据—存在look-ahead）
research_log_2026-06-23.md,106,bullet,,2.3 gap_return_20 因子验证,"滚动5年ΔSharpe=+0.07, 滚动8年ΔSharpe=-0.01"
research_log_2026-06-23.md,109,bullet,,2.3 gap_return_20 因子验证,"墙=2022-12-31, 墙前决策ΔSharpe=+0.03 → ADOPT"
research_log_2026-06-23.md,110,bullet,,2.3 gap_return_20 因子验证,墙后锁定模型验证 → Sharpe=1.24 (vs CSI300 0.55)
research_log_2026-06-23.md,120,heading,,2.4 12ETF长历史扩展 → 发现核心规律,2.4 12ETF长历史扩展 → 发现核心规律
